filt_time,filt_cycle_number,filt_marker,filt_delc_var_det1_HbO2,filt_delc_var_det1_HHb,filt_delc_var_det1_ox-redCCO,filt_delc_var_det1_HbT,filt_delc_INvar_det1_HbO2,filt_delc_INvar_det1_HHb,filt_delc_INvar_det1_ox-redCCO,filt_delc_INvar_det1_HbT,filt_delc_var_det2_HbO2,filt_delc_var_det2_HHb,filt_delc_var_det2_ox-redCCO,filt_delc_var_det2_HbT,filt_delc_INvar_det2_HbO2,filt_delc_INvar_det2_HHb,filt_delc_INvar_det2_ox-redCCO,filt_delc_INvar_det2_HbT,filt_delc_INvar_det3_HbO2,filt_delc_INvar_det3_HHb,filt_delc_INvar_det3_ox-redCCO,filt_delc_INvar_det3_HbT,filt_delc_INvar_det4_HbO2,filt_delc_INvar_det4_HHb,filt_delc_INvar_det4_ox-redCCO,filt_delc_INvar_det4_HbT,filt_SRS kHbO2,filt_SRS kHHb,filt_SRS kHbT,filt_SRS TOI,filt_BP,filt_HR,filt_LD_Flux,filt_LD_Concentration,filt_grid,filt_aligned time,filt_DPF 690,filt_DPF 750,filt_DPF 790,filt_DPF 850,filt_Us 690,filt_Us 750,filt_Us 790,filt_Us 850,filt_delc_var_det1_Hbdiff,filt_delc_INvar_det1_Hbdiff,filt_delc_var_det2_Hbdiff,filt_delc_INvar_det2_Hbdiff,filt_delc_INvar_det3_Hbdiff,filt_delc_INvar_det4_Hbdiff
0.000703308,44.00022659,-1.20898E-07,0.000205451,-0.000108766,0.000214186,9.66853E-05,0.000213288,-0.000116006,0.000228568,9.72821E-05,0.000446725,-9.22948E-05,8.93782E-05,0.00035443,0.00047379,-9.64907E-05,9.54136E-05,0.000377299,0.000669475,-9.22249E-05,6.96357E-05,0.00057725,0.000724586,-6.04603E-05,-7.40719E-06,0.000664125,0.005483924,0.001613588,0.007097512,0.526991489,0.902989797,1.1310999,1.17317962,3.215355683,,-13.401,8.693160484,8.839605017,7.406895455,6.898744268,13.98789332,13.95095629,11.32878451,10.39596944,-0.199028173,-0.20766838,-0.740249146,-0.775286161,-0.743191852,-0.571814903
3.001907946,44.96698864,1.10557E-07,-0.13955891,-0.019344057,-0.072827154,-0.158902967,-0.146654307,-0.020205561,-0.076339724,-0.166859868,-0.207466626,7.44876E-05,-0.029763218,-0.207392138,-0.218399465,7.87756E-05,-0.030865652,-0.218320689,-0.207100824,-0.002482865,-0.047635352,-0.209583689,-0.121771946,0.040526935,-0.113493892,-0.081245011,-2.576274135,-1.439100236,-4.015374371,0.526374981,0.84007705,1.076809745,1.065488264,3.042438737,,-10.401,8.609939561,8.787687729,7.690968555,6.839389378,13.84236224,13.84839331,11.68232934,10.26086944,-0.319557243,-0.334446421,-0.948329278,-0.994334682,-0.948571511,-0.73489883
5.999811367,45.93317724,2.48799E-07,-0.166045784,-0.050384399,-0.040434084,-0.216430184,-0.174000433,-0.052672299,-0.042446868,-0.226672732,-0.246894916,-0.025150703,0.010437514,-0.272045619,-0.2586963,-0.026245933,0.010764147,-0.284942232,-0.254112468,-0.033658316,-0.006219218,-0.287770784,-0.026318971,0.056314133,-0.161046306,0.029995162,-1.973035249,-1.518055095,-3.491090344,0.526950809,0.797135314,1.080245209,0.999216232,2.902524046,,-7.401,8.54918917,8.788738828,7.766239081,6.887979482,13.78466478,13.86070868,11.77802915,10.33859365,-0.315003774,-0.329325809,-0.962532378,-1.008306809,-0.964407704,-0.655233053
8.998973401,46.90017269,-1.63982E-07,-0.121939018,-0.065135596,0.037407922,-0.187074614,-0.127015452,-0.068027963,0.039010438,-0.195043415,-0.124409178,-0.039585054,0.049683408,-0.163994233,-0.128812624,-0.041216154,0.051216117,-0.170028777,-0.201834255,-0.04922527,0.068030885,-0.251059525,0.153381283,0.066789372,-0.157612909,0.220170655,0.242458667,-0.765318441,-0.522859774,0.528016188,0.745070037,1.126972667,1.030626357,2.898611567,,-4.401,8.587650817,8.804319885,7.694018748,6.957562457,13.88944821,13.89663005,11.68315667,10.46483692,-0.256145812,-0.266985163,-0.825612289,-0.863452912,-0.896562537,-0.486008037
12.00000117,47.8676968,-5.00473E-07,-0.121903937,-0.031050238,0.031613452,-0.152954175,-0.1272037,-0.032067035,0.03251994,-0.159270735,-0.03790492,-0.001846863,0.008135686,-0.039751783,-0.039482777,-0.001564748,0.007932981,-0.041047525,-0.239033286,-0.002889867,0.074948466,-0.241923154,0.147731283,0.097598803,-0.162294603,0.245330086,0.274324298,-0.46407954,-0.189755242,0.527879845,0.680627032,1.154775875,1.128329434,3.080045232,,-1.401,8.761175148,8.802487256,7.68516862,6.897446744,14.14570256,13.86839741,11.66758022,10.36124379,-0.290196089,-0.30313434,-0.776846222,-0.81377447,-0.980096971,-0.522467469
15.00054275,48.83480842,2.19357E-07,-0.171401359,0.030715256,-0.0534366,-0.140686103,-0.180464768,0.032945736,-0.057314569,-0.147519032,-0.120038276,0.05991201,-0.052674637,-0.060126266,-0.129593056,0.063155733,-0.054795681,-0.066437324,-0.375393487,0.065562844,0.028441581,-0.309830643,-0.022458299,0.13175059,-0.186561259,0.109292291,-2.027568069,-0.614279395,-2.641847464,0.526436977,0.66185619,1.138924729,1.17496065,3.303902241,,1.599,8.934818144,8.819784118,7.785600645,6.726333301,14.36784932,13.85763998,11.8090452,10.07540572,-0.401459004,-0.421408178,-0.920738452,-0.96860523,-1.184909883,-0.726808838
18.00005147,49.80161043,9.86664E-07,-0.181785255,0.066190068,-0.099466204,-0.115595187,-0.192284976,0.070083288,-0.105782743,-0.122201688,-0.239296627,0.087622418,-0.043095391,-0.151674209,-0.256808062,0.092039523,-0.044211193,-0.164768538,-0.413897546,0.088920914,0.00480594,-0.324976631,-0.113413602,0.140084822,-0.19101029,0.026671219,-3.271006213,-0.397411241,-3.668417455,0.525462143,0.704732818,1.112960725,1.136257911,3.350040734,,4.599,8.901768176,8.847486077,7.847796766,6.621488583,14.30441534,13.89446884,11.90837617,9.919610663,-0.447317713,-0.470365939,-1.06770721,-1.124704026,-1.246772012,-0.826098373
20.99971806,50.7686793,-2.35835E-07,-0.136970827,0.062294858,-0.069920922,-0.07467597,-0.144828905,0.065542791,-0.07412357,-0.079286115,-0.222252786,0.076194563,0.000895654,-0.146058222,-0.236816612,0.079837848,0.001518023,-0.156978763,-0.296304742,0.073620075,0.010811531,-0.222684668,-0.074938901,0.131781453,-0.162669417,0.056842551,-2.122072052,0.091615686,-2.030456366,0.525981301,0.740071415,1.104793946,1.097057747,3.153682854,,7.599,8.664871858,8.808215512,7.802827429,6.709704244,13.96094582,13.85075256,11.83787611,10.07497999,-0.398608074,-0.418369371,-1.039235514,-1.092510902,-1.113878369,-0.779320303
23.99994573,51.73590962,-1.90947E-06,-0.119550701,0.05348663,-0.048905533,-0.066064071,-0.125949631,0.05597802,-0.051496434,-0.069971611,-0.144292157,0.06463941,-0.001890474,-0.079652747,-0.15218342,0.067699813,-0.001973562,-0.084483607,-0.237062417,0.0684647,0.008240702,-0.168597717,-0.094722808,0.131124157,-0.136080773,0.036401349,-1.040961415,0.040440378,-1.000521037,0.526878692,0.725369233,1.102410587,1.101074451,2.857128006,,10.599,8.477856993,8.717239881,7.768845055,6.914724928,13.67350359,13.71383697,11.74815151,10.38865509,-0.37237972,-0.389925325,-0.949719732,-0.995739674,-1.049480669,-0.798446914
27.00014382,52.70288902,9.9445E-08,-0.161940142,0.058701455,-0.088696649,-0.103238687,-0.170837679,0.061657432,-0.093669608,-0.109180247,-0.186067446,0.067856499,-0.036323577,-0.118210947,-0.196260177,0.071293563,-0.038145896,-0.124966614,-0.370389184,0.074456048,-0.000133967,-0.295933136,-0.250835862,0.12595662,-0.13060779,-0.124879242,-1.918939038,-0.586847675,-2.505786712,0.526832279,0.705452959,1.092588922,1.096208941,2.672188271,,13.599,8.509830624,8.697518014,7.824807227,7.019817069,13.68741141,13.67016522,11.78661033,10.53303912,-0.419983987,-0.440492785,-0.994712111,-1.043410181,-1.188798784,-0.94939243
